date,cluster_name,datacenter,business_unit,storage_platform,vm_count,avg_memory_utilization_pct,p95_memory_utilization_pct,avg_disk_read_kbps,avg_disk_write_kbps,avg_disk_total_kbps,p95_disk_total_kbps,avg_network_total_kbps,high_disk_spike_count
2013-08-12,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,7.838659923433837,13.943858769406772,128.1060202423488,39.709675229294255,167.81569547164304,1164.1852298850558,95.74908913852184,400
2013-08-13,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,10.494008469064042,20.834533229523974,1720.662312541072,308.8270594584102,2029.489371999482,4444.907223567391,112.28212720276126,701
2013-08-13,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,59,11.64277272517514,21.514424575123385,170.26215115283622,110.72130799201096,280.9834591448472,2491.707853107344,88.11861622484814,889
2013-08-13,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,58,12.174470043857102,19.207541993407037,607.8081718554565,21.920093623033196,629.7282654784896,792.7689080459766,36.28946287805075,1864
2013-08-13,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,61,8.835696711783719,15.955654907337452,41.72705040924347,27.035565318065352,68.76261572730883,195.73894711163103,38.26733814426925,1423
2013-08-13,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,12.62726623047374,20.51538713273868,34.16015790046846,35.72304104871663,69.8831989491851,268.7492655367232,101.71648598445356,1063
2013-08-13,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,60,8.314663540867004,15.622671645720327,74.7070070661526,39.72065759965069,114.42766466580328,192.82865079364976,46.72659289842612,659
2013-08-13,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,56,10.342724436647693,18.755548689347105,41.2867817818282,6.473242300740239,47.76002408256843,431.046597985348,52.55999897058636,839
2013-08-13,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,59,11.273066084524196,21.278345519602286,712.0489631743883,153.8959085812647,865.944871755653,4123.294046610165,177.18651016876984,1461
2013-08-13,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,59,13.599740013895536,21.747803725043998,3.843934343656101,17.158558615729426,21.002492959385528,58.06394673123462,65.25996748981511,1449
2013-08-13,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,56,11.4812979177434,17.519497031147868,675.1228907298711,34.338527354715104,709.4614180845863,901.591726190475,91.63321825717802,652
2013-08-13,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,10.891915013911431,21.039364946041943,36.67495525580637,122.77057287563386,159.44552813144023,533.9653968253964,38.5148137043974,1411
2013-08-13,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,9.375203055984134,17.63892816135363,632.806043572761,75.54294194527137,708.3489855180324,998.822972222222,93.64445125527406,1131
2013-08-13,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,8.984497657222434,16.397391867950514,6.826384251119842,24.426609713605668,31.252993964725512,70.16202777777777,74.09309979609503,797
2013-08-13,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,56,11.118519903211624,18.542824600370636,11.495317301704867,44.383924541116,55.87924184282086,107.04467261904756,157.31275377037466,732
2013-08-13,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,61,7.402537279389867,12.674325472942527,5.404294330512558,66.97914230975431,72.38343664026688,210.77733021077256,60.24593636017107,2073
2013-08-13,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,57,10.146495356573585,17.845653450200423,162.31400424789854,25.393435294726395,187.7074395426249,771.336081871345,35.67098994764787,888
2013-08-13,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,55,14.999580937210204,37.60797188596728,111.5787913798502,81.9350370977059,193.51382847755607,896.3653939393927,79.73995953503488,1027
2013-08-13,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,56,15.012214036678913,21.29986253122921,31.64813357390754,17.40082706865146,49.048960642559,91.51545918367344,78.31893053501774,1131
2013-08-13,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,59,10.399425853002423,16.36045755718561,134.69580774927817,103.98231181898797,238.6781195682661,1334.9883050847452,133.02072503426257,1052
2013-08-13,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,7.752774942463165,13.60229591405067,161.43239017152203,24.40503961905284,185.83742979057484,790.7859605911328,149.1625031931835,1011
2013-08-14,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,9.435511091419343,19.594227883587507,1694.8787312107224,282.4184619038565,1977.2971931145792,4038.373777239706,152.30049202128563,726
2013-08-14,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,59,9.852864641371765,20.31519118724015,180.65142709008796,114.93143155886796,295.58285864895595,2569.38604519774,121.61739144947568,781
2013-08-14,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,58,11.111952562078534,19.228624401452173,602.2220763405388,16.28362022898212,618.5056965695211,674.7245812807879,46.36028029033148,959
2013-08-14,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,61,7.287751455877055,16.221387977597526,132.87218168835312,29.44837759513306,162.3205592834862,648.2334621389538,70.85344294205719,1371
2013-08-14,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,11.987388470065424,18.849248552357,41.35055897884287,51.83581442261704,93.18637340145992,290.7604539951573,176.55971188014357,900
2013-08-14,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,60,7.308964991207685,14.781177216388247,80.33244008402862,39.96593175712533,120.29837184115397,206.07894444444432,67.87750554277899,684
2013-08-14,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,56,9.239321947433773,19.609797099645423,41.556381684618295,7.889812723067001,49.4461944076853,401.9986507936508,91.5748883682524,861
2013-08-14,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,59,9.547802689232128,20.13330927873149,712.9138123395097,94.75039456499113,807.6642069045009,4249.905521681699,234.8126123446613,1039
2013-08-14,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,59,12.251379259688504,21.416962088503663,2.133444870415209,18.80633863106056,20.93978350147577,39.90533898305081,100.87244910303262,1163
2013-08-14,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,56,10.974902532616426,17.208096734008684,668.8615212726262,33.63120415997555,702.4927254326018,809.2490348639451,92.10546165832623,594
2013-08-14,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,10.090068842482028,20.15440981935947,228.3944288816251,104.70254931186356,333.0969781934886,1336.0194880952374,54.03242172179672,1299
2013-08-14,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,8.248339681701243,18.54554377125546,626.3680936606154,67.41752868032816,693.7856223409434,975.7931111111106,116.10846788194443,991
2013-08-14,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,8.264707884990944,16.57266336723923,33.28968691705671,72.0897093356425,105.3793962526992,816.6237658730153,102.34109992743238,866
2013-08-14,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,55,10.20372878515338,18.70216562475793,13.257289284789284,14.621051270383656,27.878340555172944,71.96090909090853,175.91309523809525,726
2013-08-14,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,61,6.644773496913735,11.507294541016034,11.851805355391422,36.96122638477061,48.81303174016204,179.7124277907884,74.92793275176301,1667
2013-08-14,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,57,9.1482538637905,17.286928323220835,225.5847123920589,32.34757570155505,257.9322880936139,1328.8987928153676,94.46390590674216,591
2013-08-14,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,54,9.924853515085786,22.49219628157419,212.11950629531648,157.76902090572037,369.8885272010368,2199.608456790123,213.49408373405288,979
2013-08-14,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,56,9.67774219248477,19.921728843214574,36.72735801559276,131.69941255163073,168.42677056722349,632.237631802721,117.09079265676178,1242
2013-08-14,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,59,9.271803233959702,15.323353010041174,151.76842311048702,115.9248258729853,267.6932489834724,1280.9912752219527,145.599275616163,801
2013-08-14,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,7.629675354114954,14.704800086937754,70.4139191745289,28.653711534979493,99.0676307095084,298.84324302134536,113.44715141114207,968
2013-08-15,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,9.488814972867756,17.240170568480487,1906.3300921436148,301.8693086541126,2208.199400797728,4392.517005649717,106.25440075992624,987
2013-08-15,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,59,9.766493191916425,18.316860645393763,166.115697360028,104.99228232803036,271.1079796880584,2398.3806214689203,63.72579467965324,1173
2013-08-15,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,58,11.088410129631349,16.8871660174941,608.1106844112412,27.5616446148639,635.672329026105,721.2675287356317,42.56489368576294,1210
2013-08-15,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,61,7.781170825256284,14.298659544475488,129.08846140953713,30.55663388834797,159.64509529788512,644.783508977361,32.39290136774174,1739
2013-08-15,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,11.81635658518806,17.466293796298057,33.03908632073357,27.80625845222861,60.845344772962186,247.59310734463247,154.91788563432277,1080
2013-08-15,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,60,7.143463443978392,13.756853619306144,80.5691843952087,39.90071897174328,120.46990336695198,199.97555555555527,42.63361579168002,764
2013-08-15,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,56,9.314816532598575,18.35139392572579,40.28660281242127,7.739974548847317,48.02657736126857,429.5242261904758,54.47226765497785,881
2013-08-15,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,59,9.893221977294086,17.481333436324825,880.5774605499844,93.19533239927836,973.7727929492628,4167.031196529456,278.73015567295226,1381
2013-08-15,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,59,11.868079611838956,18.88502363080698,2.8083479760783785,17.25150429042996,20.05985226650834,46.69435028248579,57.24579956394045,1249
2013-08-15,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,56,11.65683815936586,18.388352389334678,674.832686617801,43.01186341375994,717.8445500315609,861.3687175324669,90.06919526887906,680
2013-08-15,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,9.74579429879449,18.63411502951065,29.094324604100077,79.47480934527682,108.5691339493769,243.61949999999965,55.26052992013961,1518
2013-08-15,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,8.195393184089996,16.05446266486519,670.1920624552112,70.31297422647303,740.5050366816841,1207.3849348290566,86.06961185229217,1201
2013-08-15,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,9.535357352656025,18.05142403339579,38.26540304802564,86.02419631193297,124.2895993599586,897.824087301587,104.4162835517563,1139
2013-08-15,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,55,10.39887199041648,16.928245436856265,9.969746304130776,13.473530999643607,23.443277303774384,44.10630303030299,138.95372439233316,617
2013-08-15,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,61,6.58495207689089,10.66162827164604,12.046407700147451,25.68265620611932,37.72906390626677,94.341639344262,34.347304838736704,1611
2013-08-15,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,57,8.88182972391695,15.357837357999763,449.9550529729029,24.86057618571325,474.8156291586163,1830.4780158730157,233.77032225713697,743
2013-08-15,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,55,10.220972453434282,18.5096109807861,209.3030221162343,155.95746538750757,365.2604875037419,2365.6901212121206,207.5247966082877,1338
2013-08-15,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,56,10.161823603103164,17.562833882366583,103.98145114061518,24.471801739662595,128.45325288027774,334.54083333333307,125.0378873609382,1737
2013-08-15,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,59,9.210531476135143,15.168146646556108,175.82105955223892,130.7596071515519,306.5806667037909,1679.167198681732,135.77458976894889,1056
2013-08-15,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,7.985233788035973,14.292136930692603,72.49981155066463,26.317549855611425,98.81736140627606,406.4395977011493,126.67981800703154,823
2013-08-16,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,11.473207429400247,21.25145931923048,2573.377955128637,254.52429543924904,2827.9022505678863,4464.613898305081,100.1001504649268,982
2013-08-16,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,61,11.866594764434042,22.029206381551845,173.87405688070234,128.75675910707335,302.63081598777575,2584.322240437157,107.51385847747878,1101
2013-08-16,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,59,12.552873277185707,19.844286582132693,603.1102505914005,25.28452351391573,628.3947741053161,779.4372921711057,72.12086985412552,1013
2013-08-16,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,62,9.695150623911331,16.786257267097554,117.04418774844174,39.25248191342338,156.2966696618651,583.1537265154197,54.36176528400735,1333
2013-08-16,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,12.158754935904309,18.78525019608171,107.59845407995054,25.587328263750628,133.1857823437012,331.84373688458413,398.1398997533413,1185
2013-08-16,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,61,9.017968874907575,17.719450581786877,69.50563177181691,45.60792548325109,115.113557255068,281.615901639344,74.16008527930592,869
2013-08-16,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,60,11.64836519209411,20.689841082895377,48.93204143003141,45.74720168987104,94.67924311990244,830.0063358585855,102.6999190261058,941
2013-08-16,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,60,11.32076856866517,19.22515204950512,560.649865511079,100.31576691229832,660.9656324233773,3342.962214285702,200.32133639562983,1090
2013-08-16,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,61,13.131374782311504,21.14782113899396,10.073280990698246,34.715813855924296,44.78909484662255,266.2185089773613,95.45225694746271,1155
2013-08-16,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,57,12.233787680435189,19.631969170131665,674.4417912890441,46.97776504163187,721.4195563306761,938.5103232440072,69.8551128740085,633
2013-08-16,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,11.131857535943247,19.78457162765285,30.30478044252307,85.20951588364804,115.51429632617112,270.48263888888886,50.67214547829328,1412
2013-08-16,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,10.41098034087739,18.97575468584892,636.8007930021655,153.49185008955217,790.2926430917177,1209.481869047619,89.3148910012006,1145
2013-08-16,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,9.185146538658602,16.987644502214227,32.91331567475277,79.78760308949764,112.7009187642504,838.5658543956043,114.77572940177218,650
2013-08-16,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,58,11.7618863702451,19.00273891503164,19.22544907751461,41.19881530606094,60.42426438357555,396.3291091954022,192.579407995283,674
2013-08-16,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,62,7.785620220032954,13.149852202241266,8.777517563904082,34.363370662882325,43.14088822678641,128.78387096774205,49.23087184830679,1155
2013-08-16,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,58,10.167130291975912,17.4193320730746,136.93596115998395,128.2267679538253,265.16272911380923,1371.075566502462,232.77954203965015,926
2013-08-16,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,56,12.582305148641494,22.104084328246444,127.32072718606295,134.53932027174238,261.8600474578053,1923.2120238095235,105.919313128127,1130
2013-08-16,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,57,11.705424276281336,20.747721491429605,66.95245173251845,90.67147436089712,157.6239260934156,627.0779380074109,186.07320379257123,1383
2013-08-16,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,59,9.833225914226428,16.60878761173615,141.98578252701782,188.1341169841353,330.1198995111531,1603.5423486682798,117.97068808045805,1011
2013-08-16,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,8.826458847889048,15.503880222714535,104.42505731061266,25.7149873490093,130.14004465962194,571.0922619047617,127.71437429199274,927
2013-08-17,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,10.651277570009878,17.03024024866935,3196.861524251121,316.26108099356475,3513.122605244686,5461.020847457625,67.52720461252827,505
2013-08-17,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,61,10.501409592952612,19.286281154823783,158.25089272256278,88.7239414037875,246.97483412635023,2348.197743950039,63.95981721881861,587
2013-08-17,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,59,11.379943277512334,17.82057918534357,613.8687614026828,9.2317804856121,623.100541888295,871.667337182591,58.10934180055912,418
2013-08-17,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,62,7.845141554526316,14.375631682943048,47.753347501281496,27.60758606971829,75.36093357099978,292.55855030721955,31.999911939830067,583
2013-08-17,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,11.631718569033373,17.926380240832938,32.04832682126373,18.011141558519355,50.05946837978309,233.13355932203385,291.4061751799548,706
2013-08-17,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,61,8.199846540162637,15.058264221828956,63.782307405472594,32.19891202310296,95.98121942857556,152.34594067135023,60.116451201814144,579
2013-08-17,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,60,10.14861371056612,19.16499112851047,38.77670331790124,4.168476880469068,42.945180198370295,405.0036111111111,73.059899329066,647
2013-08-17,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,60,9.70177486955894,16.467951243357916,664.966298048197,85.1758147084275,750.1421127566244,3451.1307566137502,178.3381168283427,453
2013-08-17,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,60,11.626240080141784,19.377515884375462,1.489282817406547,13.169600743303109,14.658883560709652,35.736944444444426,70.26068602601948,657
2013-08-17,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,57,11.312516167197892,17.363059121915146,650.0005656488761,27.158521588478308,677.1590872373544,736.7368421052629,38.36196677766476,464
2013-08-17,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,8.789632988713423,16.52990839992438,21.87091172382458,71.3566633541011,93.22757507792568,177.63994444444435,38.42821427433978,661
2013-08-17,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,9.247740727853268,16.263998699252912,651.663407510331,216.4884072126277,868.1518147229585,1098.1092579365077,54.24127118328888,727
2013-08-17,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,7.826149615338597,14.081882999951477,36.27114813201703,78.28439566654912,114.55554379856616,778.4692777777777,111.23208439305787,344
2013-08-17,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,58,10.38821770542932,17.692066574350353,9.87018585511312,8.654562782595464,18.524748637708583,40.16264367816088,150.26041461959122,568
2013-08-17,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,62,6.913369654899805,11.788528039219356,0.993763191088132,23.10113775887035,24.09490094995849,28.39456989247312,27.123186448702363,683
2013-08-17,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,58,9.524112193667644,15.568081085828842,188.7042287469849,237.9272762741214,426.6315050211064,1524.0177404276758,66.32020995671385,687
2013-08-17,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,56,10.9706165601277,18.974360387667637,124.55651814703154,120.1527574447741,244.70927559180564,1807.7107142857133,158.49421216597554,449
2013-08-17,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,57,9.957531309299869,18.229099483231398,84.00861114968744,115.46431436984976,199.4729255195372,1268.4590643274842,165.38352003061087,802
2013-08-17,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,59,9.68875737516431,15.610126222760517,164.0507279482915,311.81657153822584,475.8672994865173,1584.6506638418043,107.0170714466795,780
2013-08-17,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,58,7.845327719636958,14.49868354643439,57.80283745495671,24.15022270259109,81.9530601575478,211.83340311986856,95.23631490309218,746
2013-08-18,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,59,10.289202055297016,15.980008943315475,3085.588411814109,361.38209375533705,3446.9705055694467,5741.093059539329,83.16040105041692,506
2013-08-18,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,61,9.40681551425176,17.293429466001886,168.49765270021416,87.05546759390681,255.55312029412093,2317.3769750195124,82.5230022791669,588
2013-08-18,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,59,11.508790749458244,16.65935463155561,886.5017815981325,8.338432636064002,894.8402142341965,1323.9180225988691,148.94824103047114,594
2013-08-18,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,62,6.78411816048004,12.152365751895692,35.90385075072155,27.79318729809741,63.69703804881896,306.0872388632868,12.596160979632922,494
2013-08-18,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,59,11.343582588135764,16.244171313221898,26.790042701147065,12.912528346292945,39.70257104744001,164.82225988700563,104.39590657962144,588
2013-08-18,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,61,7.364729107274387,13.9563004425127,65.66191720941926,31.98995237210628,97.65186958152552,169.9321213895389,32.37049472906568,537
2013-08-18,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,60,9.124898601836373,17.39568480574986,38.57929948775159,4.443333720086028,43.02263320783762,416.3874754273501,47.679948052729856,580
2013-08-18,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,60,9.226313354579734,15.607927079110748,697.9326997423873,91.48450085328122,789.4172005956684,4396.177229797957,124.37466468700408,495
2013-08-18,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,60,10.843274539100015,16.879876245300284,1.2777141892636683,13.990996100575094,15.26871028983876,34.119225198412686,18.58120388501031,590
2013-08-18,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,57,11.49825816419846,19.234217113735927,799.8551144891462,23.48198100685085,823.3370954959971,1129.076975772765,49.07619116210749,540
2013-08-18,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,9.005043943863932,14.763919315608227,96.73180634608352,71.1599603968586,167.8917667429421,276.3276111111109,121.50729813255474,663
2013-08-18,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,60,7.788247117054044,14.336368338506276,613.4507662273677,41.53903615860108,654.9898023859686,828.1127222222219,32.59055833006145,499
2013-08-18,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,7.500704602099792,13.315299414021291,89.86864759806166,91.32132545906556,181.1899730571272,1172.6343452380947,124.74618334179964,360
2013-08-18,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,58,9.41261928076421,15.451411823260491,10.13887834804046,8.270769604612195,18.40964795265265,79.2937356321838,104.13771670198147,423
2013-08-18,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,62,6.244875252515116,10.029428477301895,0.9434734424629192,23.077443197871663,24.02091664033458,28.06180107526881,10.186199679392477,682
