vm_id,trace_type,cluster_name,datacenter,business_unit,storage_platform
fastStorage_2013-8_76,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_767,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_821,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_828,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_846,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_892,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_924,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_943,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_987,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_996,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_997,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1018,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1028,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_104,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1082,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1108,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1111,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1114,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1135,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1140,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1167,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1200,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1207,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1211,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1243,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_14,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_169,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_177,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_181,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_195,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_20,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_216,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_221,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_226,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_251,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_270,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_271,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_279,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_288,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_305,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_316,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_343,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_347,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_350,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_364,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_367,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_391,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_412,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_438,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_44,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_442,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_458,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_481,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_485,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_487,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_497,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_5,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_500,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_533,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_549,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_580,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_632,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_635,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_642,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_694,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_703,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_738,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_740,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_855,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_858,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_871,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_881,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_919,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_920,fastStorage,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage
fastStorage_2013-8_1004,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1051,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1058,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1059,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1079,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1095,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1138,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1173,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1177,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1180,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1185,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1193,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1212,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1239,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1240,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_128,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_131,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_140,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_183,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_187,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_235,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_242,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_258,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_287,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_314,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_34,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_375,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_384,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_388,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_445,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_457,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_480,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_499,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_511,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_54,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_567,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_569,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_572,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_573,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_595,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_606,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_610,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_615,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_649,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_65,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_656,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_669,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_676,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_677,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_727,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_784,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_785,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_805,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_825,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_827,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_84,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_841,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_842,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_862,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_888,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_891,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_898,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_994,fastStorage,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage
fastStorage_2013-8_1015,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1040,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1060,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1062,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1157,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1247,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_149,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_16,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_198,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_202,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_210,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_218,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_225,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_252,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_253,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_268,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_28,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_281,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_311,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_33,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_330,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_360,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_362,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_368,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_37,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_4,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_418,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_43,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_430,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_469,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_475,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_490,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_494,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_50,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_522,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_538,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_547,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_548,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_591,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_602,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_61,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_614,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_629,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_647,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_662,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_664,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_682,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_687,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_7,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_704,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_720,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_794,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_819,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_844,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_879,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_883,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_886,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_91,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_913,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_944,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_951,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_962,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_993,fastStorage,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage
fastStorage_2013-8_1011,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1017,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1022,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1024,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1044,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1046,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_105,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1088,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_109,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1094,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
fastStorage_2013-8_1096,fastStorage,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage
